,gal_lat_deg,b,theta
0,0.004,0.128,6.866666666666666
1,0.099,-0.168,0.5
2,0.12,-0.556,12.0
3,0.159,-0.065,1.1333333333333333
4,0.17,0.153,1.4
5,0.209,-0.002,0.8666666666666667
6,0.27899999999999997,-0.48200000000000004,2.0
7,0.314,-0.19399999999999998,0.8666666666666667
8,0.315,-0.204,1.4
9,0.32899999999999996,-0.8029999999999999,7.8
10,0.335,-0.015,1.4
11,0.34700000000000003,-0.027000000000000003,0.9
12,0.382,0.017,2.2333333333333334
13,0.42100000000000004,-0.5539999999999999,2.4
14,0.456,-0.475,22.566666666666666
15,0.47600000000000003,-0.674,1.8
16,0.49,-0.07400000000000001,1.4
17,0.49200000000000005,0.192,1.4
18,0.49700000000000005,0.159,2.0
19,0.498,-0.6779999999999999,1.8
20,0.52,-0.051,6.933333333333334
21,0.528,0.18100000000000002,0.8333333333333334
22,0.5329999999999999,-0.08199999999999999,2.2
23,0.535,0.16899999999999998,1.0333333333333334
24,0.5479999999999999,-0.851,0.9333333333333333
25,0.5489999999999999,-0.835,1.3666666666666667
26,0.563,-0.852,1.1666666666666667
27,0.584,-0.871,2.6333333333333333
28,0.5920000000000001,0.051,1.4
29,0.596,-0.617,7.166666666666667
30,0.6,-0.048,0.6333333333333333
31,0.602,-0.051,0.6
32,0.603,0.33399999999999996,2.7666666666666666
33,0.63,-0.027000000000000003,1.4
34,0.639,-0.114,1.6333333333333333
35,0.649,-0.08,3.1666666666666665
36,0.657,-0.040999999999999995,0.8
37,0.6659999999999999,-0.036000000000000004,0.5333333333333333
38,0.669,0.642,11.433333333333334
39,0.67,-0.042,0.4666666666666667
40,0.67,-0.034,0.6333333333333333
41,0.6759999999999999,-0.042,0.43333333333333335
42,0.682,-0.035,0.9
43,0.6920000000000001,-0.046,0.8333333333333334
44,0.698,-0.053,0.8333333333333334
45,0.7290000000000001,-0.10300000000000001,2.4
46,0.8290000000000001,0.19899999999999998,6.333333333333333
47,1.005,-0.23600000000000002,1.6666666666666667
48,1.125,-0.105,2.0
49,1.138,0.8079999999999999,1.2333333333333334
50,1.219,-0.034,20.366666666666667
51,1.3219999999999998,0.102,1.9333333333333333
52,1.33,0.08800000000000001,1.4
53,1.331,0.146,2.6
54,1.4880000000000002,-0.19899999999999998,1.4
55,1.8630000000000002,-0.379,1.9
56,2.009,-0.68,1.4
57,2.272,0.237,9.466666666666667
58,2.374,-0.053,1.8666666666666667
59,2.404,0.068,1.7
60,2.423,-0.611,2.933333333333333
61,2.522,-0.023,5.7
62,2.614,0.133,2.0
63,2.736,-0.08199999999999999,1.0666666666666667
64,2.813,-0.14,3.566666666666667
65,2.884,-0.204,1.4
66,2.89,-0.044000000000000004,9.433333333333334
67,2.8930000000000002,0.024,2.0
68,2.9610000000000003,-0.053,1.9666666666666666
69,3.267,-0.061,13.066666666666666
70,3.319,-0.03,1.6
71,3.35,-0.077,2.4
72,3.4389999999999996,-0.349,1.4
73,3.443,-0.649,4.0
74,3.65,-0.121,2.4
75,3.665,-0.09699999999999999,1.0333333333333334
76,3.677,-0.1,0.9666666666666667
77,3.72,0.015,1.4
78,3.741,0.023,1.4
79,3.766,0.039,1.4
80,3.8369999999999997,-0.18,1.8
81,3.928,-0.11599999999999999,1.4
82,3.96,-0.094,4.466666666666667
83,4.196000000000001,-0.051,1.4
84,4.203,-0.027000000000000003,1.4
85,4.284,0.031,1.4
86,4.343,0.11599999999999999,3.7666666666666666
87,4.409,0.111,7.833333333333333
88,4.4910000000000005,-0.14300000000000002,1.4
89,4.525,-0.136,2.8
90,4.53,-0.105,1.4333333333333333
91,4.558,-0.12300000000000001,5.233333333333333
92,4.613,-0.149,2.033333333333333
93,4.861000000000001,-0.223,4.066666666666666
94,5.035,0.14,2.533333333333333
95,5.046,-0.19399999999999998,2.1666666666666665
96,5.069,0.275,9.133333333333333
97,5.102,-0.001,1.7
98,5.189,-0.285,4.4
99,5.19,-0.353,2.7333333333333334
100,5.332000000000001,0.081,18.2
101,5.401,-0.272,1.6
102,5.475,-0.243,3.5
103,5.484,-0.23199999999999998,0.5333333333333333
104,5.504,-0.252,1.5333333333333334
105,5.524,0.033,1.4
106,5.585,-0.379,1.0
107,5.59,-0.244,0.6666666666666666
108,5.63,-0.293,1.4
109,5.632999999999999,0.23800000000000002,1.9666666666666666
110,5.638,0.233,0.6333333333333333
111,5.846,-0.42200000000000004,2.6666666666666665
112,5.882999999999999,-0.39799999999999996,0.7333333333333333
113,5.886,-0.392,0.7333333333333333
114,5.888,-0.44299999999999995,14.533333333333333
115,5.9,-0.43,3.566666666666667
116,5.906000000000001,-0.46,2.0
117,5.916,-0.353,4.966666666666667
118,5.94,-0.426,2.0
119,5.9879999999999995,-1.1909999999999998,14.3
120,6.006,-0.36700000000000005,5.4
121,6.05,-1.4509999999999998,2.6666666666666665
122,6.077000000000001,-0.134,11.2
123,6.1,-1.262,48.63333333333333
124,6.117999999999999,-0.66,2.533333333333333
125,6.129,-0.251,3.466666666666667
126,6.143,-0.64,2.8666666666666667
127,6.16,-0.608,2.2333333333333334
128,6.2,-0.341,3.8
129,6.2139999999999995,-0.105,2.0
130,6.223,-0.047,0.43333333333333335
131,6.247000000000001,-0.125,1.2
132,6.27,-0.575,9.3
133,6.365,-0.055,1.1333333333333333
134,6.3660000000000005,-0.053,0.23333333333333334
135,6.374,-0.48100000000000004,8.266666666666667
136,6.388999999999999,-0.198,12.7
137,6.534,-0.11800000000000001,1.7
138,6.551,-0.098,3.2666666666666666
139,6.561,-0.135,0.9333333333333333
140,6.5760000000000005,-0.086,1.5333333333333334
141,6.6160000000000005,-0.716,35.2
142,6.664,-1.545,6.7
143,6.777,-0.096,0.9333333333333333
144,6.7860000000000005,0.22699999999999998,0.7666666666666667
145,6.915,-2.3040000000000003,9.533333333333333
146,6.93,-2.13,15.9
147,7.016,-0.271,18.333333333333332
148,7.039,0.17600000000000002,2.066666666666667
149,7.176,0.087,1.4
150,7.206,-2.1790000000000003,12.733333333333333
151,7.221,-0.212,6.0
152,7.266,0.183,1.4
153,7.269,-0.06,5.533333333333333
154,7.294,-2.043,10.2
155,7.303,-0.124,7.733333333333333
156,7.346,-0.24600000000000002,1.4
157,7.351,0.033,1.8333333333333333
158,7.38,-0.264,4.533333333333333
159,7.42,0.366,1.4
160,7.444,0.7040000000000001,14.766666666666667
161,7.466,-0.27899999999999997,1.8333333333333333
162,7.47,0.059000000000000004,2.0
163,7.485,-0.188,7.066666666666666
164,7.506,0.401,1.4
165,7.525,0.391,1.6333333333333333
166,7.7,-0.122,6.233333333333333
167,7.7620000000000005,0.006999999999999999,4.666666666666667
168,7.812,-0.618,6.9
169,7.817,-0.462,1.2333333333333334
170,7.979,-0.36,1.4666666666666666
171,8.007,-0.168,3.466666666666667
172,8.107999999999999,0.33899999999999997,4.3
173,8.124,-0.48100000000000004,14.333333333333334
174,8.137,0.233,6.366666666666666
175,8.139,-0.027000000000000003,1.2666666666666666
176,8.152999999999999,-0.198,23.366666666666667
177,8.181000000000001,0.321,6.033333333333333
178,8.251,-0.439,2.8666666666666667
179,8.282,-0.133,3.3
180,8.307,-0.083,3.7666666666666666
181,8.347000000000001,0.065,1.4
182,8.351,-0.319,1.1
183,8.357999999999999,-0.295,3.433333333333333
184,8.369,-0.355,2.8
185,8.434,-0.27399999999999997,1.4
186,8.456,-0.35,6.633333333333334
187,8.463,0.122,4.766666666666667
188,8.472000000000001,-0.263,1.4
189,8.475,-0.28,1.4
190,8.537,-0.313,4.133333333333334
191,8.665,-0.34,2.0
192,8.668,-0.35100000000000003,1.8666666666666667
193,8.865,-0.32299999999999995,5.133333333333334
194,9.035,-0.14400000000000002,10.766666666666667
195,9.177999999999999,0.043,4.1
196,9.212,-0.205,1.4666666666666666
197,9.382,-0.066,3.9
198,9.405,-0.091,1.6333333333333333
199,9.599,0.19899999999999998,1.1333333333333333
200,9.599,0.165,1.4
201,9.613,0.20600000000000002,1.1333333333333333
202,9.613999999999999,0.2,2.8666666666666667
203,9.687999999999999,0.209,3.8333333333333335
204,9.725,-0.8390000000000001,12.2
205,9.834,-0.713,3.5
206,9.875,-0.7490000000000001,1.4
207,9.927999999999999,-0.748,1.5
208,9.943,-0.76,12.333333333333334
209,9.962,0.07200000000000001,1.4
210,9.998,-0.033,1.8666666666666667
211,10.065,-0.168,2.0
212,10.083,-0.418,4.6
213,10.16,-0.35,7.0
214,10.198,-0.431,4.033333333333333
215,10.227,-0.345,2.3333333333333335
216,10.228,-0.303,3.7666666666666666
217,10.237,-0.08,4.0
218,10.237,0.113,1.4
219,10.265999999999998,0.075,2.8
220,10.290999999999999,-0.131,1.0333333333333334
221,10.309000000000001,-0.149,10.8
222,10.319,-0.23399999999999999,1.0
223,10.321,-0.265,1.2333333333333334
224,10.331,-0.8170000000000001,16.066666666666666
225,10.332,-0.27699999999999997,4.3
226,10.354000000000001,-0.146,0.5
227,10.376,2.915,8.0
228,10.395,2.221,8.7
229,10.440999999999999,0.013000000000000001,1.7666666666666666
230,10.453,0.03,1.0333333333333334
231,10.454,-0.005,1.4
232,10.462,0.034,0.43333333333333335
233,10.464,0.028999999999999998,0.5
234,10.469000000000001,0.024,0.3
235,10.472000000000001,0.027000000000000003,0.6
236,10.472999999999999,0.018000000000000002,0.7333333333333333
237,10.475999999999999,0.032,0.6
238,10.498,0.027999999999999997,1.1333333333333333
239,10.575,-0.41100000000000003,3.6666666666666665
240,10.581,-0.377,1.1
241,10.585999999999999,-0.051,4.433333333333334
242,10.597000000000001,-0.38,2.0
243,10.612,-0.375,0.8666666666666667
244,10.618,-0.405,2.0
245,10.618,-0.38299999999999995,0.3333333333333333
246,10.620999999999999,-0.318,1.4
247,10.622,-0.38,0.4666666666666667
248,10.623,-0.384,0.7
249,10.63,-0.342,0.4
250,10.63,-0.33799999999999997,1.4
251,10.630999999999998,-0.387,0.8666666666666667
252,10.638,-0.433,1.4
253,10.679,-0.031,1.0
254,10.689,0.031,3.466666666666667
255,10.769,-0.486,19.333333333333332
256,10.844000000000001,-2.5869999999999997,5.333333333333333
257,10.859000000000002,-0.125,1.9666666666666666
258,10.878,0.084,3.7333333333333334
259,10.925,0.07,2.433333333333333
260,10.956,0.03,0.6333333333333333
261,10.958,0.022000000000000002,0.5666666666666667
262,10.965,0.006999999999999999,1.2666666666666666
263,10.967,0.022000000000000002,1.0
264,11.030999999999999,0.053,0.5666666666666667
265,11.033,0.027000000000000003,1.0333333333333334
266,11.035,0.066,1.4
267,11.074000000000002,-0.228,1.4
268,11.08,-0.37799999999999995,3.8333333333333335
269,11.112,-0.401,2.0
270,11.171,-0.066,1.5666666666666667
271,11.183,-1.063,16.433333333333334
272,11.3,0.2,3.9
273,11.42,-1.682,2.0
274,11.423,-1.72,3.5
275,11.472000000000001,-1.625,3.5
276,11.524000000000001,-0.11,10.366666666666667
277,11.573,0.345,4.333333333333333
278,11.645999999999999,0.205,2.7
279,11.662,-1.692,30.233333333333334
280,11.731,-0.008,1.9333333333333333
281,11.745999999999999,-0.136,1.2666666666666666
282,11.769,0.568,3.1
283,11.77,-0.039,1.1666666666666667
284,11.774000000000001,-0.04,0.4666666666666667
285,11.776,-0.149,3.6333333333333333
286,11.79,-0.04,3.6
287,11.815999999999999,0.242,5.166666666666667
288,11.823,0.8370000000000001,1.9333333333333333
289,11.841,-0.191,2.6
290,11.889000000000001,-0.223,2.6333333333333333
291,11.892999999999999,0.7490000000000001,6.066666666666666
292,11.905,-0.141,1.0666666666666667
293,11.936,-0.613,3.966666666666667
294,11.944,-0.038,3.2666666666666666
295,11.948,-0.161,2.3666666666666667
296,11.995,-0.24600000000000002,5.4
297,12.064,-0.284,1.4
298,12.067,-0.027000000000000003,2.6
299,12.184000000000001,-0.113,0.7333333333333333
300,12.192,-0.10400000000000001,1.0
301,12.194,-0.14400000000000002,0.6
302,12.194,-0.11199999999999999,0.6
303,12.194,-0.129,1.6333333333333333
304,12.199000000000002,-0.034,1.4
305,12.202,-0.11,0.8
306,12.209000000000001,-0.105,0.6666666666666666
307,12.216,-0.11900000000000001,0.8
308,12.217,-0.138,2.3
309,12.229000000000001,-0.115,2.0
310,12.302,0.41600000000000004,4.4
311,12.311,-0.059000000000000004,6.033333333333333
312,12.331,-0.18,0.7666666666666667
313,12.333,-0.11900000000000001,1.4
314,12.357999999999999,0.028999999999999998,1.1666666666666667
315,12.405999999999999,-0.47,1.6333333333333333
316,12.418,0.504,2.2666666666666666
317,12.429,-1.113,1.8666666666666667
318,12.43,-0.048,2.0
319,12.474,-1.14,10.966666666666667
320,12.475999999999999,-1.102,5.066666666666666
321,12.523,-0.61,16.766666666666666
322,12.594000000000001,-0.08800000000000001,1.4
323,12.63,0.07,1.4
324,12.632,-0.017,2.0
325,12.684000000000001,-0.185,1.5666666666666667
326,12.685,0.008,2.433333333333333
327,12.692,-0.251,3.8
328,12.714,-0.221,0.6
329,12.727,-0.21899999999999997,1.0666666666666667
330,12.742,0.332,2.6666666666666665
331,12.743,0.391,17.9
332,12.762,-0.132,6.933333333333334
333,12.775,0.331,2.0
334,12.787,-0.17800000000000002,0.7333333333333333
335,12.794,-0.19899999999999998,0.6333333333333333
336,12.804,-0.20600000000000002,0.7
337,12.805,-0.312,1.0333333333333334
338,12.805,-0.196,0.7
339,12.814,-0.19899999999999998,0.7
340,12.82,-0.23800000000000002,4.2
341,12.825,0.542,5.733333333333333
342,12.829,-0.16899999999999998,0.7333333333333333
343,12.86,-0.273,0.9
344,12.878,0.496,0.9666666666666667
345,12.882,0.48100000000000004,0.9666666666666667
346,12.885,-0.23600000000000002,4.066666666666666
347,12.890999999999998,0.495,0.8666666666666667
348,12.892000000000001,-0.195,1.4
