,l,b,age (years),distance (kpc),type_x,name,RA (hh),RA (mm),RA (ss),Dec (deg),Dec (min),type_y,semimaj_axis (arcmin),semimin_axis (arcmin),best-fit S_1GHz,1-GHz,spectral,best-fit alpha,diam,confidence,Surface brightness (W/m2/Hz/sr),err in dist,dist known,r,theta
84,150.3,4.5,≥ 1000,2.6,shell,150.3+4.5,4,27,0,55,28,S,180,150,0.0,?,?,0.0,165.0,,,1.2000000000000002,1.0,10.339007254114332,7.157390096474693
85,156.2,5.7,7000 - 36600,2.6,shell,156.2+5.7,4,58,40,51,50,S,110,110,5.048755217281571,5,0.5,0.5269831260560804,110.0,1.0,6.248198027181283e-23,1.2000000000000002,1.0,10.431793814227383,5.772503895856019
86,159.6,7.3,,4.128432606395873,shell,159.6+7.3,5,20,0,50,0,S,240,180?,0.0,?,?,0.0,210.0,,,4.128432606395873,0.0,11.956422718122981,6.9127887426437775
87,160.9,2.6,2600 - 9200 PSR: 16000,1.05,thermal composite?,160.9+2.6,5,1,0,46,40,S,140,120,34.90859860675655,110,0.64,0.9110561603505528,130.0,0.5,9.852383033136255e-22,1.5,1.0,8.99875778784197,2.1881243234631014
88,166.0,4.3,9000 - 20100,1.05,thermal composite,166.0+4.3,5,26,30,42,56,S,55,35,52.17881942920947,7,0.37,-0.03962426066616239,45.0,0.5,5.471736692783111e-22,1.5,1.0,9.02238705672932,1.6133293894085503
89,179.0,2.6,PSR: 51700,1.05,shell?,179.0+2.6,5,53,40,31,5,S?,70,70,0.0,7,0.4,0.0,70.0,0.5,2.1496108435933653e-22,1.5,1.0,9.049858633074184,0.11601810070569712
90,181.1,9.5,≤ 16000,1.05,shell?,181.1+9.5,6,26,40,32,30,S,74,74,0.0,?,0.45?,0.0,74.0,,,1.5,1.0,9.049828946651072,-0.12761898706299665
91,182.4,4.3,3800 - 4400,9.5,shell,182.4+4.3,6,8,10,29,0,S,50,50,0.3910526313859631,0.5,0.4,0.2536106087211273,50.0,1.0,2.6815829580955356e-23,13.0,1.0,17.496190161718822,-1.3028720743518298
92,189.1,3.0,3000 - 30000 SN: 1185 yr,9.5,thermal & plerionic composite,189.1+3.0,6,17,0,22,34,C,45,45,155.15813670103555,165,0.36,0.4256588538222399,45.0,1.0,1.1895081027704572e-20,13.0,1.0,17.44525432964904,-4.940815836615331
93,205.5,0.5,30000 - 150000,9.5,shell,205.5+0.5,6,39,0,6,30,S,220,220,200.7193347214695,140,0.4,0.3792413422766194,220.0,1.0,5.296382061750329e-22,13.0,1.0,17.07170065404085,-13.86112165567685
94,206.9,2.3,64000,2.2,shell?,206.9+2.3,6,48,40,6,26,S?,60,40,7.164667321647005,6,0.5,0.561966935902891,50.0,1.0,4.126924612257945e-22,0.55,1.0,10.011556973922863,-5.705814853180576
95,261.9,5.5,,2.9,shell,261.9+5.5,9,4,20,-38,42,S,40,30,9.465849326406657,10?,0.4?,0.3873630314520701,35.0,1.0,1.2204500230941184e-21,0.725,1.0,8.885258418408766,-18.85215005695468
96,279.0,1.1,,9.5,shell,279.0+1.1,9,57,40,-53,15,S,95,95,33.64371972832935,30?,0.6?,0.5962679802429349,95.0,1.0,5.305621110152001e-22,13.0,1.0,11.422432372917992,-55.230931522249406
97,292.0,1.8,2930 - 3050 PSR: 2900,9.5,plerionic composite,292.0+1.8,11,24,36,-59,16,C,12,8,0.0,15,0.4,0.0,10.0,0.5,2.351136860180243e-20,13.0,1.0,9.864572864588784,-63.24213926969928
98,293.8,0.6,,8.727941154605194,plerionic composite?,293.8+0.6,11,35,0,-60,54,C,20,20,2.0872234031738195,5?,0.6?,1.6300979505009787,20.0,0.5,1.8809094881441944e-21,8.727941154605194,0.0,9.15549251552034,-60.719064995285386
